序号,代码,名称,营业收入,同比增长,净利润,同比增长,基本每股收益,每股净资产,净资产收益率,公告日期
189,600309,万华化学,606.21亿,--,106.10亿,--,3.88,12.36,36.82%,2019-03-01
190,300757,罗博特科,6.64亿,--,"9,905.51万",--,1.65,5.32,36.73%,2019-02-28
191,300740,御家汇,22.46亿,--,1.31亿,--,0.50,5.15,10.74%,2019-02-28
192,002931,锋龙股份,3.15亿,--,"4,666.28万",--,0.56,5.59,11.20%,2019-02-28
193,300750,宁德时代,296.11亿,--,35.79亿,--,1.73,15.09,12.38%,2019-02-28
194,300713,英可瑞,3.08亿,-19.15%,"1,403.34万",-83.30%,0.15,7.53,1.96%,2019-02-28
195,300672,国科微,3.87亿,-5.95%,"5,816.89万",11.41%,0.52,9.19,6.03%,2019-02-28
196,300730,科创信息,3.45亿,12.22%,"3,490.80万",-21.76%,0.22,2.56,8.93%,2019-02-28
197,002919,名臣健康,5.46亿,-14.43%,"3,127.12万",-36.21%,0.38,6.79,5.75%,2019-02-28
198,002949,华阳国际,9.16亿,--,1.26亿,--,0.86,3.99,23.50%,2019-02-28
199,300698,万马科技,2.99亿,-12.50%,407.55万,-85.20%,0.03,2.84,1.07%,2019-02-28
200,002912,中新赛克,6.91亿,38.85%,2.05亿,54.84%,1.92,12.12,16.95%,2019-02-28
201,002929,润建股份,32.31亿,--,2.04亿,--,0.97,11.91,15.26%,2019-02-28
202,300738,奥飞数据,4.11亿,5.57%,"5,790.73万",-6.80%,0.91,8.75,11.10%,2019-02-28
203,300670,大烨智能,3.55亿,4.58%,"3,571.62万",-35.24%,0.18,3.02,6.13%,2019-02-28
204,300681,英搏尔,6.55亿,22.17%,"5,466.69万",-35.15%,0.72,8.62,8.16%,2019-02-28
205,300647,超频三,5.12亿,23.66%,904.36万,-75.68%,0.04,2.42,1.57%,2019-02-28
206,300673,佩蒂股份,8.78亿,40.40%,1.48亿,40.44%,1.22,8.57,16.21%,2019-02-28
207,300648,星云股份,3.21亿,3.69%,"1,923.74万",-71.11%,0.18,3.91,3.68%,2019-02-28
208,300662,科锐国际,21.97亿,93.53%,1.20亿,57.30%,0.66,4.11,17.49%,2019-02-28
209,002866,传艺科技,11.46亿,71.44%,"9,695.29万",24.67%,0.40,3.98,10.39%,2019-02-28
210,300612,宣亚国际,3.69亿,-26.80%,"2,106.24万",-72.90%,0.13,2.53,4.62%,2019-02-28
211,300652,雷迪克,4.58亿,-7.47%,"8,302.88万",11.25%,0.94,8.30,11.99%,2019-02-28
212,002847,盐津铺子,11.08亿,46.81%,"7,051.33万",6.00%,0.57,5.17,11.45%,2019-02-28
213,002845,同兴达,40.95亿,11.78%,"9,808.64万",-34.27%,0.49,5.65,9.43%,2019-02-28
214,002853,皮阿诺,11.10亿,34.34%,1.42亿,37.95%,0.91,6.50,14.07%,2019-02-28
215,002849,威星智能,7.87亿,56.94%,"6,291.53万",16.54%,0.48,4.56,10.92%,2019-02-28
